[PARAMETER],,
VERSION=0.0.1,,
[TESTORDER],,
SampleId;SampleType;SamplePos;Technology;MethodName;TestName;CarrierPos;ConjName;ConjPos;DevName;DevPos;AssayScript;CustomRunId;GroupId;CmrTestId;PreDilutionFactor,,
Sample1_26;1;SS_A_2;2;EL-G;Gcal;R1_A3;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_27;1;SS_A_2;2;EL-G;Gcal;R1_A3;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_28;1;SS_A_2;2;EL-G;Gcal;R1_A3;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_29;1;SS_A_2;2;EL-G;Gcal;R1_A3;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_30;1;SS_A_2;2;EL-G;Gcal;R1_A3;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_31;1;SS_A_2;2;EL-G;Gcal;R1_A3;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_32;1;SS_A_2;2;EL-G;Gcal;R1_A3;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_33;1;SS_A_2;2;EL-G;Gcal;R1_A3;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_34;1;SS_A_2;2;EL-G;Gcal;R1_A3;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_35;1;SS_A_2;2;EL-G;Gcal;R1_A3;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_36;1;SS_A_2;2;EL-G;Gcal;R1_A3;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_37;1;SS_A_2;2;EL-G;Gcal;R1_A4;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_38;1;SS_A_2;2;EL-G;Gcal;R1_A4;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_39;1;SS_A_2;2;EL-G;Gcal;R1_A4;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_40;1;SS_A_2;2;EL-G;Gcal;R1_A4;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_41;1;SS_A_2;2;EL-G;Gcal;R1_A4;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_42;1;SS_A_2;2;EL-G;Gcal;R1_A4;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_43;1;SS_A_2;2;EL-G;Gcal;R1_A4;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_44;1;SS_A_2;2;EL-G;Gcal;R1_A4;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_45;1;SS_A_2;2;EL-G;Gcal;R1_A4;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_46;1;SS_A_2;2;EL-G;Gcal;R1_A4;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_47;1;SS_A_2;2;EL-G;Gcal;R1_A4;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_48;1;SS_A_2;2;EL-G;Gcal;R1_A4;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_49;1;SS_A_2;2;EL-G;Gcal;R1_A5;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_50;1;SS_A_2;2;EL-G;Gcal;R1_A5;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_51;1;SS_A_3;2;EL-G;Gcal;R1_A5;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_52;1;SS_A_3;2;EL-G;Gcal;R1_A5;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_53;1;SS_A_3;2;EL-G;Gcal;R1_A5;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_54;1;SS_A_3;2;EL-G;Gcal;R1_A5;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_55;1;SS_A_3;2;EL-G;Gcal;R1_A5;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_56;1;SS_A_3;2;EL-G;Gcal;R1_A5;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_57;1;SS_A_3;2;EL-G;Gcal;R1_A5;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_58;1;SS_A_3;2;EL-G;Gcal;R1_A5;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_59;1;SS_A_3;2;EL-G;Gcal;R1_A5;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_60;1;SS_A_3;2;EL-G;Gcal;R1_A5;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_61;1;SS_A_3;2;EL-G;Gcal;R1_A6;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_62;1;SS_A_3;2;EL-G;Gcal;R1_A6;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_63;1;SS_A_3;2;EL-G;Gcal;R1_A6;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_64;1;SS_A_3;2;EL-G;Gcal;R1_A6;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_65;1;SS_A_3;2;EL-G;Gcal;R1_A6;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_66;1;SS_A_3;2;EL-G;Gcal;R1_A6;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_67;1;SS_A_3;2;EL-G;Gcal;R1_A6;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_68;1;SS_A_3;2;EL-G;Gcal;R1_A6;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_69;1;SS_A_3;2;EL-G;Gcal;R1_A6;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_70;1;SS_A_3;2;EL-G;Gcal;R1_A6;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_71;1;SS_A_3;2;EL-G;Gcal;R1_A6;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_72;1;SS_A_3;2;EL-G;Gcal;R1_A6;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_73;1;SS_A_3;2;EL-G;Gcal;R1_A7;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_74;1;SS_A_3;2;EL-G;Gcal;R1_A7;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_75;1;SS_A_3;2;EL-G;Gcal;R1_A7;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_76;1;SS_A_4;2;EL-G;Gcal;R1_A7;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_77;1;SS_A_4;2;EL-G;Gcal;R1_A7;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_78;1;SS_A_4;2;EL-G;Gcal;R1_A7;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_79;1;SS_A_4;2;EL-G;Gcal;R1_A7;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_80;1;SS_A_4;2;EL-G;Gcal;R1_A7;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_81;1;SS_A_4;2;EL-G;Gcal;R1_A7;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_82;1;SS_A_4;2;EL-G;Gcal;R1_A7;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_83;1;SS_A_4;2;EL-G;Gcal;R1_A7;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_84;1;SS_A_4;2;EL-G;Gcal;R1_A7;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_85;1;SS_A_4;2;EL-G;Gcal;R1_A8;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_86;1;SS_A_4;2;EL-G;Gcal;R1_A8;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_87;1;SS_A_4;2;EL-G;Gcal;R1_A8;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_88;1;SS_A_4;2;EL-G;Gcal;R1_A8;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_89;1;SS_A_4;2;EL-G;Gcal;R1_A8;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_90;1;SS_A_4;2;EL-G;Gcal;R1_A8;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_91;1;SS_A_4;2;EL-G;Gcal;R1_A8;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_92;1;SS_A_4;2;EL-G;Gcal;R1_A8;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_93;1;SS_A_4;2;EL-G;Gcal;R1_A8;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_94;1;SS_A_4;2;EL-G;Gcal;R1_A8;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_95;1;SS_A_4;2;EL-G;Gcal;R1_A8;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_96;1;SS_A_4;2;EL-G;Gcal;R1_A8;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_97;1;SS_A_4;2;EL-G;Gcal;R1_A9;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_98;1;SS_A_4;2;EL-G;Gcal;R1_A9;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_99;1;SS_A_4;2;EL-G;Gcal;R1_A9;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_100;1;SS_A_4;2;EL-G;Gcal;R1_A9;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_001;1;SS_A_5;2;EL-G;Gcal;R1_A9;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_002;1;SS_A_5;2;EL-G;Gcal;R1_A9;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_003;1;SS_A_5;2;EL-G;Gcal;R1_A9;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_004;1;SS_A_5;2;EL-G;Gcal;R1_A9;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_005;1;SS_A_5;2;EL-G;Gcal;R1_A9;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_006;1;SS_A_5;2;EL-G;Gcal;R1_A9;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_007;1;SS_A_5;2;EL-G;Gcal;R1_A9;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_008;1;SS_A_5;2;EL-G;Gcal;R1_A9;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_009;1;SS_A_5;2;EL-G;Gcal;R1_B1;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_010;1;SS_A_5;2;EL-G;Gcal;R1_B1;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_011;1;SS_A_5;2;EL-G;Gcal;R1_B1;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_012;1;SS_A_5;2;EL-G;Gcal;R1_B1;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_013;1;SS_A_5;2;EL-G;Gcal;R1_B1;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_014;1;SS_A_5;2;EL-G;Gcal;R1_B1;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_015;1;SS_A_5;2;EL-G;Gcal;R1_B1;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_016;1;SS_A_5;2;EL-G;Gcal;R1_B1;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_017;1;SS_A_5;2;EL-G;Gcal;R1_B1;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_018;1;SS_A_5;2;EL-G;Gcal;R1_B1;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_019;1;SS_A_5;2;EL-G;Gcal;R1_B1;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_020;1;SS_A_5;2;EL-G;Gcal;R1_B1;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_021;1;SS_A_5;2;EL-G;Gcal;R1_B2;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_022;1;SS_A_5;2;EL-G;Gcal;R1_B2;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_023;1;SS_A_5;2;EL-G;Gcal;R1_B2;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_024;1;SS_A_5;2;EL-G;Gcal;R1_B2;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_025;1;SS_A_5;2;EL-G;Gcal;R1_B2;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_026;1;SS_A_6;2;EL-G;Gcal;R1_B2;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_027;1;SS_A_6;2;EL-G;Gcal;R1_B2;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_028;1;SS_A_6;2;EL-G;Gcal;R1_B2;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_029;1;SS_A_6;2;EL-G;Gcal;R1_B2;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_030;1;SS_A_6;2;EL-G;Gcal;R1_B2;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_031;1;SS_A_6;2;EL-G;Gcal;R1_B2;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_032;1;SS_A_6;2;EL-G;Gcal;R1_B2;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_033;1;SS_A_6;2;EL-G;Gcal;R1_B3;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_034;1;SS_A_6;2;EL-G;Gcal;R1_B3;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_035;1;SS_A_6;2;EL-G;Gcal;R1_B3;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_036;1;SS_A_6;2;EL-G;Gcal;R1_B3;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_037;1;SS_A_6;2;EL-G;Gcal;R1_B3;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_038;1;SS_A_6;2;EL-G;Gcal;R1_B3;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_039;1;SS_A_6;2;EL-G;Gcal;R1_B3;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_040;1;SS_A_6;2;EL-G;Gcal;R1_B3;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_041;1;SS_A_6;2;EL-G;Gcal;R1_B3;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_042;1;SS_A_6;2;EL-G;Gcal;R1_B3;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_043;1;SS_A_6;2;EL-G;Gcal;R1_B3;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_044;1;SS_A_6;2;EL-G;Gcal;R1_B3;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_045;1;SS_A_6;2;EL-G;Gcal;R1_B4;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_046;1;SS_A_6;2;EL-G;Gcal;R1_B4;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_047;1;SS_A_6;2;EL-G;Gcal;R1_B4;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_048;1;SS_A_6;2;EL-G;Gcal;R1_B4;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_049;1;SS_A_6;2;EL-G;Gcal;R1_B4;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_050;1;SS_A_6;2;EL-G;Gcal;R1_B4;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_051;1;SS_A_7;2;EL-G;Gcal;R1_B4;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_052;1;SS_A_7;2;EL-G;Gcal;R1_B4;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_053;1;SS_A_7;2;EL-G;Gcal;R1_B4;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_054;1;SS_A_7;2;EL-G;Gcal;R1_B4;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_055;1;SS_A_7;2;EL-G;Gcal;R1_B4;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_056;1;SS_A_7;2;EL-G;Gcal;R1_B4;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_057;1;SS_A_7;2;EL-G;Gcal;R1_B5;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_058;1;SS_A_7;2;EL-G;Gcal;R1_B5;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_059;1;SS_A_7;2;EL-G;Gcal;R1_B5;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_060;1;SS_A_7;2;EL-G;Gcal;R1_B5;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_061;1;SS_A_7;2;EL-G;Gcal;R1_B5;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_062;1;SS_A_7;2;EL-G;Gcal;R1_B5;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_063;1;SS_A_7;2;EL-G;Gcal;R1_B5;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_064;1;SS_A_7;2;EL-G;Gcal;R1_B5;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_065;1;SS_A_7;2;EL-G;Gcal;R1_B5;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_066;1;SS_A_7;2;EL-G;Gcal;R1_B5;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_067;1;SS_A_7;2;EL-G;Gcal;R1_B5;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_068;1;SS_A_7;2;EL-G;Gcal;R1_B5;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_069;1;SS_A_7;2;EL-G;Gcal;R1_B6;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_070;1;SS_A_7;2;EL-G;Gcal;R1_B6;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_071;1;SS_A_7;2;EL-G;Gcal;R1_B6;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_072;1;SS_A_7;2;EL-G;Gcal;R1_B6;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_073;1;SS_A_7;2;EL-G;Gcal;R1_B6;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_074;1;SS_A_7;2;EL-G;Gcal;R1_B6;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_075;1;SS_A_7;2;EL-G;Gcal;R1_B6;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_076;1;SS_A_8;2;EL-G;Gcal;R1_B6;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_077;1;SS_A_8;2;EL-G;Gcal;R1_B6;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_078;1;SS_A_8;2;EL-G;Gcal;R1_B6;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_079;1;SS_A_8;2;EL-G;Gcal;R1_B6;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_080;1;SS_A_8;2;EL-G;Gcal;R1_B6;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_081;1;SS_A_8;2;EL-G;Gcal;R1_B7;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_082;1;SS_A_8;2;EL-G;Gcal;R1_B7;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_083;1;SS_A_8;2;EL-G;Gcal;R1_B7;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_084;1;SS_A_8;2;EL-G;Gcal;R1_B7;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_085;1;SS_A_8;2;EL-G;Gcal;R1_B7;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_086;1;SS_A_8;2;EL-G;Gcal;R1_B7;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_087;1;SS_A_8;2;EL-G;Gcal;R1_B7;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_088;1;SS_A_8;2;EL-G;Gcal;R1_B7;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_089;1;SS_A_8;2;EL-G;Gcal;R1_B7;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_090;1;SS_A_8;2;EL-G;Gcal;R1_B7;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_091;1;SS_A_8;2;EL-G;Gcal;R1_B7;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_092;1;SS_A_8;2;EL-G;Gcal;R1_B7;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_093;1;SS_A_8;2;EL-G;Gcal;R1_B8;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_094;1;SS_A_8;2;EL-G;Gcal;R1_B8;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_095;1;SS_A_8;2;EL-G;Gcal;R1_B8;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_096;1;SS_A_8;2;EL-G;Gcal;R1_B8;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_097;1;SS_A_8;2;EL-G;Gcal;R1_B8;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_098;1;SS_A_8;2;EL-G;Gcal;R1_B8;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_099;1;SS_A_8;2;EL-G;Gcal;R1_B8;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample2_100;1;SS_A_8;2;EL-G;Gcal;R1_B8;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample3_001;1;SS_A_9;2;EL-M;Mcal;R1_C1;;FS_B2,C3_2;;FS_B1,C1_1;;;;;
Sample3_002;1;SS_A_9;2;EL-M;Mcal;R1_C1;;FS_B2,C3_2;;FS_B1,C1_1;;;;;
Sample3_003;1;SS_A_9;2;EL-M;Mcal;R1_C1;;FS_B2,C3_2;;FS_B1,C1_1;;;;;
Sample3_004;1;SS_A_9;2;EL-M;Mcal;R1_C1;;FS_B2,C3_2;;FS_B1,C1_1;;;;;
Sample3_005;1;SS_A_9;2;EL-M;Mcal;R1_C1;;FS_B2,C3_2;;FS_B1,C1_1;;;;;
Sample3_006;1;SS_A_9;2;EL-M;Mcal;R1_C1;;FS_B2,C3_2;;FS_B1,C1_1;;;;;
Sample3_007;1;SS_A_9;2;EL-M;Mcal;R1_C1;;FS_B2,C3_2;;FS_B1,C1_1;;;;;
Sample3_008;1;SS_A_9;2;EL-M;Mcal;R1_C1;;FS_B2,C3_2;;FS_B1,C1_1;;;;;
Sample3_009;1;SS_A_9;2;EL-M;Mcal;R1_C1;;FS_B2,C3_2;;FS_B1,C1_1;;;;;
Sample3_010;1;SS_A_9;2;EL-M;Mcal;R1_C1;;FS_B2,C3_2;;FS_B1,C1_1;;;;;
Sample3_011;1;SS_A_9;2;EL-M;Mcal;R1_C1;;FS_B2,C3_2;;FS_B1,C1_1;;;;;
Sample3_012;1;SS_A_9;2;EL-M;Mcal;R1_C1;;FS_B2,C3_2;;FS_B1,C1_1;;;;;
Sample3_013;1;SS_A_9;2;EL-M;Mcal;R1_C2;;FS_B2,C3_2;;FS_B1,C1_1;;;;;
Sample3_014;1;SS_A_9;2;EL-M;Mcal;R1_C2;;FS_B2,C3_2;;FS_B1,C1_1;;;;;
Sample3_015;1;SS_A_9;2;EL-M;Mcal;R1_C2;;FS_B2,C3_2;;FS_B1,C1_1;;;;;
Sample3_016;1;SS_A_9;2;EL-M;Mcal;R1_C2;;FS_B2,C3_2;;FS_B1,C1_1;;;;;
